tag,raw_text,tokens,ch_count
None-of-the-above,Bro man made virus bro,"['bro', 'man', 'made', 'virus', 'bro']",5
None-of-the-above,Umadevi Arumugam  loosu d new,"['umadevi', 'arumugam', 'loosu', 'd', 'new']",5
Transphobic,Oru sila thirunangaikalal anaithu thirunangaikalukum  ketta paru...avanga vaiyuthu polappuku epdi pandranga pavam...,"['oru', 'sila', 'thirunangaikalal', 'anaithu', 'thirunangaikalukum', 'ketta', 'paru', '......', 'avanga', 'vaiyuthu', 'polappuku', 'epdi', 'pandranga', 'pavam', '......']",15
Counter-speech,Mehrun Humsiya  adade..paiyanau vaaila viral vacha kooda kadika theriyadhunu solluvinga pola..school la college la and friends kitta lam enna kathukittanga. Suya pudhi illaiya boys ku.edhu nalladhu kettadhunu kooda analysis panna theiyadha..dowry vanguradhum kudukuradhum satta padi kutram nu padichitu dhane vandhu irupan. Yen avanga amma ku solli thara koodadha.,"['mehrun', 'humsiya', 'adade', '......', 'paiyanau', 'vaaila', 'viral', 'vacha', 'kooda', 'kadika', 'theriyadhunu', 'solluvinga', 'pola', '......', 'school', 'la', 'college', 'la', 'and', 'friends', 'kitta', 'lam', 'enna', 'kathukittanga', '.', 'suya', 'pudhi', 'illaiya', 'boys', 'ku', '.', 'edhu', 'nalladhu', 'kettadhunu', 'kooda', 'analysis', 'panna', 'theiyadha', '......', 'dowry', 'vanguradhum', 'kudukuradhum', 'satta', 'padi', 'kutram', 'nu', 'padichitu', 'dhane', 'vandhu', 'irupan', '.', 'yen', 'avanga', 'amma', 'ku', 'solli', 'thara', 'koodadha', '.']",59
Counter-speech,Shanth sha  factu dhan! Ennalayum internet illama vaazha mudiyum! But idhuvum iyarkai dhan brother!,"['shanth', 'sha', 'factu', 'dhan', '!', 'ennalayum', 'internet', 'illama', 'vaazha', 'mudiyum', '!', 'but', 'idhuvum', 'iyarkai', 'dhan', 'brother', '!']",17
None-of-the-above,More to video good luck,"['more', 'to', 'video', 'good', 'luck']",5
None-of-the-above,Intha mariye padam yedunga daw nadu vellangirum,"['intha', 'mariye', 'padam', 'yedunga', 'daw', 'nadu', 'vellangirum']",7
Counter-speech,Ethanayo thirunangai nalla irukanga.... Sila perala ellarukum asingam.... Paavam ivanga pana thapala ellarumkum ketta per..,"['ethanayo', 'thirunangai', 'nalla', 'irukanga', '......', 'sila', 'perala', 'ellarukum', 'asingam', '......', 'paavam', 'ivanga', 'pana', 'thapala', 'ellarumkum', 'ketta', 'per', '......']",18
None-of-the-above,Unga speech ketta po manasu Rempa kashdama Erukku,"['unga', 'speech', 'ketta', 'po', 'manasu', 'rempa', 'kashdama', 'erukku']",8
None-of-the-above,Athu ennada ne ye comedy pannitu ne ye sirichchikira,"['athu', 'ennada', 'ne', 'ye', 'comedy', 'pannitu', 'ne', 'ye', 'sirichchikira']",9
None-of-the-above,Sema  spr speech sir,"['sema', 'spr', 'speech', 'sir']",4
Xenophobia,China udan aana dhodarbai thundikka vendum. Ithai seithal than anaiththu makkalum vaalza mudium. illaiyel manitha kulam alziya neridum😡😡,"['china', 'udan', 'aana', 'dhodarbai', 'thundikka', 'vendum', '.', 'ithai', 'seithal', 'than', 'anaiththu', 'makkalum', 'vaalza', 'mudium', '.', 'illaiyel', 'manitha', 'kulam', 'alziya', 'neridum']",20
None-of-the-above,Mani Shankar Iyer  naanum malayali aanu... Natil evida,"['mani', 'shankar', 'iyer', 'naanum', 'malayali', 'aanu', '......', 'natil', 'evida']",9
Misandry,Ada  h. Raja devadiya mahane.,"['ada', 'h', '.', 'raja', 'devadiya', 'mahane', '.']",7
None-of-the-above,Love u akkaa❤️ur great ❤️,"['love', 'u', 'akkaaur', 'great']",4
None-of-the-above,Apdi kelunga thalaivaa.. intha law va matum follow pana vitruvangla ena makkal,"['apdi', 'kelunga', 'thalaivaa', '......', 'intha', 'law', 'va', 'matum', 'follow', 'pana', 'vitruvangla', 'ena', 'makkal']",13
None-of-the-above,Vanakkam Paari... Delhi il 6 mathangalai kadanthum vivasayigal kadumaiyaga poradi kondu irukirargal.. Matra seithi udagangal than avargalai purakanikirathu.. Nengal suthanthiramana udagam thanay nengalum yen antha seithiyai purakanikirergal,"['vanakkam', 'paari', '......', 'delhi', 'il', '6', 'mathangalai', 'kadanthum', 'vivasayigal', 'kadumaiyaga', 'poradi', 'kondu', 'irukirargal', '......', 'matra', 'seithi', 'udagangal', 'than', 'avargalai', 'purakanikirathu', '......', 'nengal', 'suthanthiramana', 'udagam', 'thanay', 'nengalum', 'yen', 'antha', 'seithiyai', 'purakanikirergal']",30
Misogyny,Nama ivanga kitta varathschanai kekakudathu vaangakudathu.. but ivanga namaku house Iruka car irukka money irukka nu paapanga... vadagai vitla iruntha ponnu kudukka mattanga Thevidiyalunga.....( Na nalla ponnungala sollala),"['nama', 'ivanga', 'kitta', 'varathschanai', 'kekakudathu', 'vaangakudathu', '......', 'but', 'ivanga', 'namaku', 'house', 'iruka', 'car', 'irukka', 'money', 'irukka', 'nu', 'paapanga', '......', 'vadagai', 'vitla', 'iruntha', 'ponnu', 'kudukka', 'mattanga', 'thevidiyalunga', '......', '(', 'na', 'nalla', 'ponnungala', 'sollala', ')']",33
None-of-the-above,Hiii bro... naanun gay tha,"['hiii', 'bro', '......', 'naanun', 'gay', 'tha']",6
Xenophobia,Ulaga naadukal onru enaiya ventum evanunkala alikanum,"['ulaga', 'naadukal', 'onru', 'enaiya', 'ventum', 'evanunkala', 'alikanum']",7
None-of-the-above,Ananda sir you are good,"['ananda', 'sir', 'you', 'are', 'good']",5
None-of-the-above,harihara shankar  bro ennoda number send pannirukenu sonnen,"['harihara', 'shankar', 'bro', 'ennoda', 'number', 'send', 'pannirukenu', 'sonnen']",8
Xenophobia,Iruka kadupula elan country yun china mela attack pana nu fst india va irukanu😂😂,"['iruka', 'kadupula', 'elan', 'country', 'yun', 'china', 'mela', 'attack', 'pana', 'nu', 'fst', 'india', 'va', 'irukanu']",14
Xenophobia,Oraitha ellarum sernthu bomb potu midichu vitrungada,"['oraitha', 'ellarum', 'sernthu', 'bomb', 'potu', 'midichu', 'vitrungada']",7
None-of-the-above,Nama pakre view la tha irukku... Ellame.. pudichavanga pudichuvangaloda serumpothu vedika pakre namaken noganum..,"['nama', 'pakre', 'view', 'la', 'tha', 'irukku', '......', 'ellame', '......', 'pudichavanga', 'pudichuvangaloda', 'serumpothu', 'vedika', 'pakre', 'namaken', 'noganum', '......']",17
None-of-the-above,Raman Laksh  u age Machi,"['raman', 'laksh', 'u', 'age', 'machi']",5
Xenophobia,yenaku hindikaran sunni umbi tamilana patha dhan kovam varudhu..yenda thani naadu kekama inum delhi gujarati marwadi sunniya umbitu irukanunga nu..🤮,"['yenaku', 'hindikaran', 'sunni', 'umbi', 'tamilana', 'patha', 'dhan', 'kovam', 'varudhu', '......', 'yenda', 'thani', 'naadu', 'kekama', 'inum', 'delhi', 'gujarati', 'marwadi', 'sunniya', 'umbitu', 'irukanunga', 'nu', '......']",23
None-of-the-above,Storm Breaker  unna maathiri alu tn la iruka modhu naa irukarudhula thapu illa,"['storm', 'breaker', 'unna', 'maathiri', 'alu', 'tn', 'la', 'iruka', 'modhu', 'naa', 'irukarudhula', 'thapu', 'illa']",13
None-of-the-above,Ameer Dheen   over bro,"['ameer', 'dheen', 'over', 'bro']",4
None-of-the-above,Vera level act mass performance 😂😁,"['vera', 'level', 'act', 'mass', 'performance']",5
Homophobia,Ivanga naducha lesbian movie name sollunga guys please,"['ivanga', 'naducha', 'lesbian', 'movie', 'name', 'sollunga', 'guys', 'please']",8
Misandry,I am venkatesh  gotha pundaila 5 vaigaai poolu pogumamaedaa apdiya,"['i', 'am', 'venkatesh', 'gotha', 'pundaila', '5', 'vaigaai', 'poolu', 'pogumamaedaa', 'apdiya']",10
Counter-speech,திருமறைக்காடு சோழகுலத்தான்  thappu Ellam nam seivathu. Piragu pengale paththi kurai solluvathu. Enna ulagamuda sami. Pengale mathippom. Vallvil valam peruvom..,"['திருமறைக்காடு', 'சோழகுலத்தான்', 'thappu', 'ellam', 'nam', 'seivathu', '.', 'piragu', 'pengale', 'paththi', 'kurai', 'solluvathu', '.', 'enna', 'ulagamuda', 'sami', '.', 'pengale', 'mathippom', '.', 'vallvil', 'valam', 'peruvom', '......']",24
None-of-the-above,Jathi pakuravanga. Unmaiyana. Kadhalar gala iruka. Vaipu illla,"['jathi', 'pakuravanga', '.', 'unmaiyana', '.', 'kadhalar', 'gala', 'iruka', '.', 'vaipu', 'illla']",11
Misandry,Yavlo pirachana iruku intha mutta pundaiga thirpu sollirukanga paru sonnavana patha serupala adipan,"['yavlo', 'pirachana', 'iruku', 'intha', 'mutta', 'pundaiga', 'thirpu', 'sollirukanga', 'paru', 'sonnavana', 'patha', 'serupala', 'adipan']",13
Misandry,aandalai patri yaar pedinalum avam vesi magan thaan   nee ulpada  un paavadai simon echhhha soru ulpada,"['aandalai', 'patri', 'yaar', 'pedinalum', 'avam', 'vesi', 'magan', 'thaan', 'nee', 'ulpada', 'un', 'paavadai', 'simon', 'echhhha', 'soru', 'ulpada']",16
None-of-the-above,Kuttu ippo than velipattu irukku,"['kuttu', 'ippo', 'than', 'velipattu', 'irukku']",5
None-of-the-above,Comment section la embutu Peru solradha patha urukulla oru pakki pondati pecha kekadhu pola. ...na kuda eanaku mattumthan appudiyonu nenachan😂,"['comment', 'section', 'la', 'embutu', 'peru', 'solradha', 'patha', 'urukulla', 'oru', 'pakki', 'pondati', 'pecha', 'kekadhu', 'pola', '......', 'na', 'kuda', 'eanaku', 'mattumthan', 'appudiyonu', 'nenachan']",21
None-of-the-above,pavam H raja tablet poadala athan  loosu pudichuruchu,"['pavam', 'h', 'raja', 'tablet', 'poadala', 'athan', 'loosu', 'pudichuruchu']",8
None-of-the-above,Enoda pondati athum Mela ayya avargaley,"['enoda', 'pondati', 'athum', 'mela', 'ayya', 'avargaley']",6
None-of-the-above,Penna ketta athu avanaga urimai,"['penna', 'ketta', 'athu', 'avanaga', 'urimai']",5
None-of-the-above,Ipa mattum enna gala gala gala gala gala gala galana iruku....,"['ipa', 'mattum', 'enna', 'gala', 'gala', 'gala', 'gala', 'gala', 'gala', 'galana', 'iruku', '......']",12
None-of-the-above,doctor  apdiya Tenkasi yaarukku than pudikkathu sollunga..,"['doctor', 'apdiya', 'tenkasi', 'yaarukku', 'than', 'pudikkathu', 'sollunga', '......']",8
None-of-the-above,wow 🔥🔥🔥 wow; Nice you 🔥🔥🔥🔥,"['wow', 'wow', ';', 'nice', 'you']",5
None-of-the-above,Bro make video on Tamil King Ravanan.,"['bro', 'make', 'video', 'on', 'tamil', 'king', 'ravanan', '.']",8
None-of-the-above,Sinungiriye bro Vera level neee🔥🔥🔥🔥🔥,"['sinungiriye', 'bro', 'vera', 'level', 'neee']",5
None-of-the-above,Ram Iyer hi ram.. idhula irunddhe theridhu illa apdi pesaravangaluku sex thavira edhum theriyadhu... avanga apo yara pathalum sex toy ah dhan papanga pola,"['ram', 'iyer', 'hi', 'ram', '......', 'idhula', 'irunddhe', 'theridhu', 'illa', 'apdi', 'pesaravangaluku', 'sex', 'thavira', 'edhum', 'theriyadhu', '......', 'avanga', 'apo', 'yara', 'pathalum', 'sex', 'toy', 'ah', 'dhan', 'papanga', 'pola']",26
None-of-the-above,Periyar groups iruka varaikum jathi ah azhika mudiyathu,"['periyar', 'groups', 'iruka', 'varaikum', 'jathi', 'ah', 'azhika', 'mudiyathu']",8
Homophobia,sreekanth  Yara nee 😒😒😒😒😒avanada nee,"['sreekanth', 'yara', 'nee', 'avanada', 'nee']",5
None-of-the-above,Fast mistake your tamil Nadu people enna tamil  fast vote your language tamil,"['fast', 'mistake', 'your', 'tamil', 'nadu', 'people', 'enna', 'tamil', 'fast', 'vote', 'your', 'language', 'tamil']",13
None-of-the-above,innocent Raj  hii unga age,"['innocent', 'raj', 'hii', 'unga', 'age']",5
None-of-the-above,That manasuu tha yaruko varathu,"['that', 'manasuu', 'tha', 'yaruko', 'varathu']",5
None-of-the-above,Neenga unmayana human being person sir,"['neenga', 'unmayana', 'human', 'being', 'person', 'sir']",6
None-of-the-above,I love you  sister  nalla manasuku ungaluku😍😍😍😍,"['i', 'love', 'you', 'sister', 'nalla', 'manasuku', 'ungaluku']",7
None-of-the-above,ennakum pesa theriyum  i love to,"['ennakum', 'pesa', 'theriyum', 'i', 'love', 'to']",6
None-of-the-above,Bros please ithu pola prank avangala kasta paduthum,"['bros', 'please', 'ithu', 'pola', 'prank', 'avangala', 'kasta', 'paduthum']",8
None-of-the-above,part 2 veraya ?? ena nadandhurukum 🤔🤔😥🤔,"['part', '2', 'veraya', '?', '?', 'ena', 'nadandhurukum']",7
Hope-Speech,Bro Naa unga chennal ku suport panra yaa naa unga channel ku suport panrana thirunangaikal nammaloda god ha iruppanga adhu illama neenga oru time food ku padhupadra peoples ku food kuduttu irukkinga   Your really great Bro........,"['bro', 'naa', 'unga', 'chennal', 'ku', 'suport', 'panra', 'yaa', 'naa', 'unga', 'channel', 'ku', 'suport', 'panrana', 'thirunangaikal', 'nammaloda', 'god', 'ha', 'iruppanga', 'adhu', 'illama', 'neenga', 'oru', 'time', 'food', 'ku', 'padhupadra', 'peoples', 'ku', 'food', 'kuduttu', 'irukkinga', 'your', 'really', 'great', 'bro', '......']",37
None-of-the-above,Vera leval Ala vachittinga super bro,"['vera', 'leval', 'ala', 'vachittinga', 'super', 'bro']",6
None-of-the-above,Senthil sir nenga avar solrada mulunayaga kelunga.. purinjukunga ore kelviya thirupi thirupi kekadinga,"['senthil', 'sir', 'nenga', 'avar', 'solrada', 'mulunayaga', 'kelunga', '......', 'purinjukunga', 'ore', 'kelviya', 'thirupi', 'thirupi', 'kekadinga']",14
None-of-the-above,Itha video kaka ve Unga channel subscribe paniruken atha Akka ku unmaiyale nala manasu 🙏🙏,"['itha', 'video', 'kaka', 've', 'unga', 'channel', 'subscribe', 'paniruken', 'atha', 'akka', 'ku', 'unmaiyale', 'nala', 'manasu']",14
None-of-the-above,Ivlo kavanikura husbands Ku oru hatsoff.👏,"['ivlo', 'kavanikura', 'husbands', 'ku', 'oru', 'hatsoff', '.']",7
Xenophobia,தமிழர் - Belongs to Tamil stock  brother apdi kudi pera pathomna...africa ku panjam polaika ponavanga elaru kudi pera podranga..aana avangaluku tamil teriyala....avanga tamilarunu ethuka mudiyuma,"['தமிழர்', '-', 'belongs', 'to', 'tamil', 'stock', 'brother', 'apdi', 'kudi', 'pera', 'pathomna', '......', 'africa', 'ku', 'panjam', 'polaika', 'ponavanga', 'elaru', 'kudi', 'pera', 'podranga', '......', 'aana', 'avangaluku', 'tamil', 'teriyala', '......', 'avanga', 'tamilarunu', 'ethuka', 'mudiyuma']",31
None-of-the-above,Evagalum oru naal antha ponugala thitunaga ipo evegalae support pandraga ...double game ahdurag elaru ....,"['evagalum', 'oru', 'naal', 'antha', 'ponugala', 'thitunaga', 'ipo', 'evegalae', 'support', 'pandraga', '......', 'double', 'game', 'ahdurag', 'elaru', '......']",16
Xenophobia,Dey chappa mukku china thayoligala...,"['dey', 'chappa', 'mukku', 'china', 'thayoligala', '......']",6
None-of-the-above,Nega Uga husband vandaudana sumava irukegaa,"['nega', 'uga', 'husband', 'vandaudana', 'sumava', 'irukegaa']",6
None-of-the-above,Pillaiyal amma appada kegkuratha yarum kegkelathu 1st boys neegka varathachana vaagkuratha nippadugka,"['pillaiyal', 'amma', 'appada', 'kegkuratha', 'yarum', 'kegkelathu', '1st', 'boys', 'neegka', 'varathachana', 'vaagkuratha', 'nippadugka']",12
Xenophobia,Yennada sappa mukanungala ungala la summavea iruka mudiyatha 😠,"['yennada', 'sappa', 'mukanungala', 'ungala', 'la', 'summavea', 'iruka', 'mudiyatha']",8
None-of-the-above,Naveen Kumar   engalauku very engum kilagal kidaiyadhi😂🤣🤣,"['naveen', 'kumar', 'engalauku', 'very', 'engum', 'kilagal', 'kidaiyadhi']",7
None-of-the-above,Pavithra Palani  hey god promise na poi sollala sister nambunga,"['pavithra', 'palani', 'hey', 'god', 'promise', 'na', 'poi', 'sollala', 'sister', 'nambunga']",10
None-of-the-above,paavam sestar neenga ramba alaku from sri Lanka 💝,"['paavam', 'sestar', 'neenga', 'ramba', 'alaku', 'from', 'sri', 'lanka']",8
None-of-the-above,Ok going on ur path,"['ok', 'going', 'on', 'ur', 'path']",5
None-of-the-above,Kannkalgiruchu bro antha akka dance la aduraga nalla akka,"['kannkalgiruchu', 'bro', 'antha', 'akka', 'dance', 'la', 'aduraga', 'nalla', 'akka']",9
Misandry,Dei thevidia magane.. AIDS sukku ungammalukku injection onumna imrankhan poola oombi kelu poduvaan.. Perisa,"['dei', 'thevidia', 'magane', '......', 'aids', 'sukku', 'ungammalukku', 'injection', 'onumna', 'imrankhan', 'poola', 'oombi', 'kelu', 'poduvaan', '......', 'perisa']",16
Misandry,Daii mudda punda athuku u yavuloda ketpiga,"['daii', 'mudda', 'punda', 'athuku', 'u', 'yavuloda', 'ketpiga']",7
Xenophobia,mack mani  Nee endha jaathiya irundhalum sari andha jaadhi oombum jaadhi.. Jaadhi veri pudicha potta naaigal.,"['mack', 'mani', 'nee', 'endha', 'jaathiya', 'irundhalum', 'sari', 'andha', 'jaadhi', 'oombum', 'jaadhi', '......', 'jaadhi', 'veri', 'pudicha', 'potta', 'naaigal', '.']",18
None-of-the-above,Vellai manasu nu solluvagala adhu idhu dha pola😥😥,"['vellai', 'manasu', 'nu', 'solluvagala', 'adhu', 'idhu', 'dha', 'pola']",8
Xenophobia,kamalakannan vetri  you are right.avanga solra Jesus kumbidathavangalum nallathan irukanga. Ivanungaluku vera velai illai.,"['kamalakannan', 'vetri', 'you', 'are', 'right', '.', 'avanga', 'solra', 'jesus', 'kumbidathavangalum', 'nallathan', 'irukanga', '.', 'ivanungaluku', 'vera', 'velai', 'illai', '.']",18
None-of-the-above,Antha akka super ra pesnanga,"['antha', 'akka', 'super', 'ra', 'pesnanga']",5
None-of-the-above,Srikanth Srikanth   your native place enna  nee yanga  irukka tell me,"['srikanth', 'srikanth', 'your', 'native', 'place', 'enna', 'nee', 'yanga', 'irukka', 'tell', 'me']",11
None-of-the-above,Correct ta sonninga repent jesus,"['correct', 'ta', 'sonninga', 'repent', 'jesus']",5
None-of-the-above,PSBB; Maharishi Vidhya Mandir; Chettinad Vidhyashram; SRV; Vidhya Vikas; etc....,"['psbb', ';', 'maharishi', 'vidhya', 'mandir', ';', 'chettinad', 'vidhyashram', ';', 'srv', ';', 'vidhya', 'vikas', ';', 'etc', '......']",16
None-of-the-above,Bro; Avagga kitta prank show apdinnu solla laya??,"['bro', ';', 'avagga', 'kitta', 'prank', 'show', 'apdinnu', 'solla', 'laya', '?', '?']",11
None-of-the-above,yenga oruthavanga thapu pana atha solitu nengalum thapu pananuma....,"['yenga', 'oruthavanga', 'thapu', 'pana', 'atha', 'solitu', 'nengalum', 'thapu', 'pananuma', '......']",10
None-of-the-above,Maduvanthiyin pechu brahmanargalluku oru avamanam,"['maduvanthiyin', 'pechu', 'brahmanargalluku', 'oru', 'avamanam']",5
None-of-the-above,Ameer Dheen  pon namer sent me pon namer,"['ameer', 'dheen', 'pon', 'namer', 'sent', 'me', 'pon', 'namer']",8
Misandry,Sharupala adikkunam Pisa karenay niga,"['sharupala', 'adikkunam', 'pisa', 'karenay', 'niga']",5
Misogyny,World Mendal health doctor  sonna  Inga ye kekanu  Arivu ketta mundam  ; Unna vetti thandi podanu  naye naye ; Echa  ne soldra  ariviyal ulaviyal arasiyal ah yar vaikara,"['world', 'mendal', 'health', 'doctor', 'sonna', 'inga', 'ye', 'kekanu', 'arivu', 'ketta', 'mundam', ';', 'unna', 'vetti', 'thandi', 'podanu', 'naye', 'naye', ';', 'echa', 'ne', 'soldra', 'ariviyal', 'ulaviyal', 'arasiyal', 'ah', 'yar', 'vaikara']",28
Misandry,Kamal fraud summa pesittu thiriuran,"['kamal', 'fraud', 'summa', 'pesittu', 'thiriuran']",5
Hope-Speech,I'm hounourably salute sriniwasan sir...I'm really proud of you....unnggalai polawargal ulladhall dhan indha pirapanjam konjamawadhu nimmadhi perumoochu widugiradhu...wazhga wazhamudan.,"['i', ""'"", 'm', 'hounourably', 'salute', 'sriniwasan', 'sir', '......', 'i', ""'"", 'm', 'really', 'proud', 'of', 'you', '......', 'unnggalai', 'polawargal', 'ulladhall', 'dhan', 'indha', 'pirapanjam', 'konjamawadhu', 'nimmadhi', 'perumoochu', 'widugiradhu', '......', 'wazhga', 'wazhamudan', '.']",30
None-of-the-above,Idhellam oru polappu chiii aruvaruppa irukku,"['idhellam', 'oru', 'polappu', 'chiii', 'aruvaruppa', 'irukku']",6
Hope-Speech,Nagarajan Adhinamilaki  oru sila nallvargalum irukkathan seigirargal,"['nagarajan', 'adhinamilaki', 'oru', 'sila', 'nallvargalum', 'irukkathan', 'seigirargal']",7
None-of-the-above,Vasu Vasu    are you ok,"['vasu', 'vasu', 'are', 'you', 'ok']",5
None-of-the-above,Yogi india u re ryt,"['yogi', 'india', 'u', 're', 'ryt']",5
None-of-the-above,G it's hormonal problem it's natural defect,"['g', 'it', ""'"", 's', 'hormonal', 'problem', 'it', ""'"", 's', 'natural', 'defect']",11
None-of-the-above,NA Baskaran sir. Happy to see you.,"['na', 'baskaran', 'sir', '.', 'happy', 'to', 'see', 'you', '.']",9
Counter-speech,Karthik Subramanian  adhu saabam nu sollaadheenga. Adhu varam.; Homosexual ppl thaan ini ulagatha aala porom. Heterosexual ppl a naama odhukki vappom..,"['karthik', 'subramanian', 'adhu', 'saabam', 'nu', 'sollaadheenga', '.', 'adhu', 'varam', '.', ';', 'homosexual', 'ppl', 'thaan', 'ini', 'ulagatha', 'aala', 'porom', '.', 'heterosexual', 'ppl', 'a', 'naama', 'odhukki', 'vappom', '......']",26
Transphobic,Ethanai railway policeyuku vedeo vi anupi vaikavum.namma nattula oru trainla kooda in tha kedu ketta naigalala nimmathiya payanam panna mudiyala.antha pichai edukkum nai pesugira pecha partheengala...ulachi sapda vendiyathu thana thuppooo,"['ethanai', 'railway', 'policeyuku', 'vedeo', 'vi', 'anupi', 'vaikavum', '.', 'namma', 'nattula', 'oru', 'trainla', 'kooda', 'in', 'tha', 'kedu', 'ketta', 'naigalala', 'nimmathiya', 'payanam', 'panna', 'mudiyala', '.', 'antha', 'pichai', 'edukkum', 'nai', 'pesugira', 'pecha', 'partheengala', '......', 'ulachi', 'sapda', 'vendiyathu', 'thana', 'thuppooo']",36
None-of-the-above,Iranduperum vera ethavathu pesunga summa ungalukulla adichukathenga,"['iranduperum', 'vera', 'ethavathu', 'pesunga', 'summa', 'ungalukulla', 'adichukathenga']",7
Misandry,Dai porambokku edu serppa nayee😡😡😡😡😡💪💪💪,"['dai', 'porambokku', 'edu', 'serppa', 'nayee']",5
None-of-the-above,Ramrudhra Official  na pesa pls,"['ramrudhra', 'official', 'na', 'pesa', 'pls']",5
None-of-the-above,H raja sir 🤮; Neenga pesunadhu yenaku 🤮varudhu,"['h', 'raja', 'sir', ';', 'neenga', 'pesunadhu', 'yenaku', 'varudhu']",8
None-of-the-above,Thalaivaaa part 2 vema podunga,"['thalaivaaa', 'part', '2', 'vema', 'podunga']",5
Xenophobia,Kaatu paravai ya athu enna parava da...athayachum kandu pidinga da sappa mookan unmaiya solrana illaya nu theriyum,"['kaatu', 'paravai', 'ya', 'athu', 'enna', 'parava', 'da', '......', 'athayachum', 'kandu', 'pidinga', 'da', 'sappa', 'mookan', 'unmaiya', 'solrana', 'illaya', 'nu', 'theriyum']",19
None-of-the-above,Superb anna. Salute anna. Ur great,"['superb', 'anna', '.', 'salute', 'anna', '.', 'ur', 'great']",8
None-of-the-above,Vetrivel Subbaiya  unlucky neenga kandipa ponnu illadha v2 naragam dha.anyway all the best👍,"['vetrivel', 'subbaiya', 'unlucky', 'neenga', 'kandipa', 'ponnu', 'illadha', 'v2', 'naragam', 'dha', '.', 'anyway', 'all', 'the', 'best']",15
None-of-the-above,Plz talk about najip tun razak,"['plz', 'talk', 'about', 'najip', 'tun', 'razak']",6
Transphobic,Ohh idhu ponna....; Pakka payan maari iruku,"['ohh', 'idhu', 'ponna', '......', ';', 'pakka', 'payan', 'maari', 'iruku']",9
None-of-the-above,Next bbig bossk ivangala kupiduga Pls,"['next', 'bbig', 'bossk', 'ivangala', 'kupiduga', 'pls']",6
None-of-the-above,Romba azhaga pesuringa super akka nenga life  nalla varunum all the best,"['romba', 'azhaga', 'pesuringa', 'super', 'akka', 'nenga', 'life', 'nalla', 'varunum', 'all', 'the', 'best']",12
None-of-the-above,guru vigneshwar  i also did bro,"['guru', 'vigneshwar', 'i', 'also', 'did', 'bro']",6
None-of-the-above,neetum arapichitiya da adutha partnu savatikuringa da,"['neetum', 'arapichitiya', 'da', 'adutha', 'partnu', 'savatikuringa', 'da']",7
None-of-the-above,ithellam oru program da thuuuuuuuu,"['ithellam', 'oru', 'program', 'da', 'thuuuuuuuu']",5
None-of-the-above,Babu G ; L for lesbian ; G for gay ; B for bisexual ; T for transgender,"['babu', 'g', ';', 'l', 'for', 'lesbian', ';', 'g', 'for', 'gay', ';', 'b', 'for', 'bisexual', ';', 't', 'for', 'transgender']",18
None-of-the-above,DE manitham na eannanu kaakkitingka da ; Naa manusana polachikaren,"['de', 'manitham', 'na', 'eannanu', 'kaakkitingka', 'da', ';', 'naa', 'manusana', 'polachikaren']",10
Misandry,Storm Breaker  poda mayira pudungi,"['storm', 'breaker', 'poda', 'mayira', 'pudungi']",5
None-of-the-above,Thevailatha onnee ninka tread manathinka please,"['thevailatha', 'onnee', 'ninka', 'tread', 'manathinka', 'please']",6
None-of-the-above,Babu Natarajan   maduraila entha area,"['babu', 'natarajan', 'maduraila', 'entha', 'area']",5
None-of-the-above,bro alexeszander king pati video make panuga bro,"['bro', 'alexeszander', 'king', 'pati', 'video', 'make', 'panuga', 'bro']",8
Misandry,Ya not only here. Thiruvannamalai girivalam suthumbothu en fiance kita misbehave panirukanga very cheap. Saamy kummuda kuda poga mudila,"['ya', 'not', 'only', 'here', '.', 'thiruvannamalai', 'girivalam', 'suthumbothu', 'en', 'fiance', 'kita', 'misbehave', 'panirukanga', 'very', 'cheap', '.', 'saamy', 'kummuda', 'kuda', 'poga', 'mudila']",21
None-of-the-above,Dei summa irukada.......nane thonthu poi iruken,"['dei', 'summa', 'irukada', '......', 'nane', 'thonthu', 'poi', 'iruken']",8
Misandry,Normal manisana iruntha poda mairu endutu po irupagka but I aval mari solugka romba irakeka kunam ullavagka,"['normal', 'manisana', 'iruntha', 'poda', 'mairu', 'endutu', 'po', 'irupagka', 'but', 'i', 'aval', 'mari', 'solugka', 'romba', 'irakeka', 'kunam', 'ullavagka']",17
Homophobia,dei englaku mulla irruku da ne summa summa suni ah suppatha,"['dei', 'englaku', 'mulla', 'irruku', 'da', 'ne', 'summa', 'summa', 'suni', 'ah', 'suppatha']",11
None-of-the-above,Enakku one time kooda chance kedaikala I'm so unlucky naa ithuvaraikum vera oruthavangaloda cocka thottathu kooda illa,"['enakku', 'one', 'time', 'kooda', 'chance', 'kedaikala', 'i', ""'"", 'm', 'so', 'unlucky', 'naa', 'ithuvaraikum', 'vera', 'oruthavangaloda', 'cocka', 'thottathu', 'kooda', 'illa']",19
None-of-the-above,Mohammed nabhi pathi paasunga bro,"['mohammed', 'nabhi', 'pathi', 'paasunga', 'bro']",5
